,Rating,Comment
1,5,"Well-packed and shipped immediately. Received in good condition and items are complete. Fast delivery as well. Thanks!"
2,5,"Thank you kc my free p sya👍👍👍Pag mlpit n maubos, order po ulit ako ❤️❤️❤️"
3,5,never pa ko binigo neto ni one full life❤️🤗 salamat dahil laging on time ang delivery nyo at laging maayos ang packaging.... kaya di ako lumilipat sa iba dahil tiwala ako sa inyo guys☝️godbless .. and more sales to come😉
4,5,wala kong masabe... pang ilang beses nakong nag order sa seller na ONE FULL LIFE... very trusted🤗🤗 laging well package at may pa free palagi.. thank you and godbless🤗
5,5,"effective sya sorry d mka upload ng photos ng order ako ulit dhil paubos n ang supply ko.tnx p"
6,5,This is my 2nd order to this shop. Dahil natuwa naman ako sa effect na detox nitong product. Masasabi ko na legit tlaga to...so dito na ko magoorder ng glutalipo juice ❤️ Thankyou seller sa facemask.
7,5,"super well packed po tlga and good condition..with freebie p c seller..thank u so much po for a job well done.."
8,5,"thank you thank you my fave suki,bilis din ng delivery"
9,5,thank you thank you thank you thank you thank you thank you thank you thank you thank you thank
10,5,"Delivered fast and sealed. Sana effective saken para hello beaches na 🤗🤗🤗🤗🤗🤗🤗🤭🤗🤭🤭"
11,5,"second time to order on this shop! item came on time and woth freebies too. thank you so much seller!"
12,5,"hello po sa napakabait n seller laging may free at super nagustuhan q po ang huling free nyo pp sakin kc yan talagang conditioner n yan ang ginagamit q..sobrang legit pa ng product nila kaya highly recommended dito n po kau mag order sa kanila di kau magccc..5star kau sakin at kung may 10atar nga lang un ang ibbgay q eh.i will order again next time pag naubos n ulit ito..thanks.."
13,5,"always in good packaging. super effective antioxidant, its my nth times ordering this. thanks seller"
14,5,ok Po cya salamat saller at Kay kuya delivery u till next time Po ulit salamat will order Po ulit.
15,5,"Second time to order and this shop never fails me! Thankyou po for fast transaction, bilis dumating and may pa freebie ulit. Definitely wil order again! "
16,5,"This is my 2nd order to forever 😆 always come with a freebie the seller is very generous! 😍😊"
17,5,"At first I am nervous to try thia product cheaper kasi sya compared sa nabibilhan ko, but when I tried it I fhink texture and taste are the same. Thank you seller! also for the freebie, Tunay naman po nakakaulong ang glutalipo sa pagpapayat but you need to help also, bawas sa carbs mostly white meat would be recommended then sabayan ng inom ng drink na ito, so far umiinom ako nito mga 3 months na siguro and I can see my weight is decreasing!! thank you again seller! will order again sooon ❤ more power!"
18,5,Thank you for always giving 💯 satisfaction to all your clients. Godbless and more clients to come! 😊
19,5,"thank u po at napakaganda po ng pagkabalot po,thank e sa freebies rin po😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍👍👍👍👍👍👍👍"
