id,rating,comment,label
1,5,"Well-packed and shipped immediately. Received in good condition and items are complete. Fast delivery as well. Thanks!",1
2,5,"Thank you kc my free p sya👍👍👍Pag mlpit n maubos, order po ulit ako ❤️❤️❤️",1
3,5,never pa ko binigo neto ni one full life❤️🤗 salamat dahil laging on time ang delivery nyo at laging maayos ang packaging.... kaya di ako lumilipat sa iba dahil tiwala ako sa inyo guys☝️godbless .. and more sales to come😉,1
4,5,wala kong masabe... pang ilang beses nakong nag order sa seller na ONE FULL LIFE... very trusted🤗🤗 laging well package at may pa free palagi.. thank you and godbless🤗,1
5,5,"effective sya sorry d mka upload ng photos ng order ako ulit dhil paubos n ang supply ko.tnx p",1
6,5,This is my 2nd order to this shop. Dahil natuwa naman ako sa effect na detox nitong product. Masasabi ko na legit tlaga to...so dito na ko magoorder ng glutalipo juice ❤️ Thankyou seller sa facemask.,1
7,5,"super well packed po tlga and good condition..with freebie p c seller..thank u so much po for a job well done..",1
8,5,"thank you thank you my fave suki,bilis din ng delivery",1
9,5,thank you thank you thank you thank you thank you thank you thank you thank you thank you thank,1
10,5,"Delivered fast and sealed. Sana effective saken para hello beaches na 🤗🤗🤗🤗🤗🤗🤗🤭🤗🤭🤭",1
